,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,Occlusion,Rise,KernelShap,Lime
Deletion,0.1850416660308838,0.1850416660308838,0.1691250041127205,0.1260000042617321,0.1691250041127205,0.1260000042617321,0.1260000042617321,0.12750000581145288,0.12800000235438347,0.1267500065267086,0.1691250041127205,0.1260000042617321,0.1697500042617321,0.1526666708290577
Insertion,0.8336666941642761,0.8339583277702332,0.8802500009536743,0.9472499966621399,0.8810833334922791,0.9540000081062316,0.9181666731834411,0.9329166769981384,0.940500009059906,0.9370416522026062,0.8746250152587891,0.9402500033378601,0.8632917046546936,0.8865833282470703
MuFidelity,-0.020734896782977047,-0.015551420202733274,0.007292039201784573,0.5296765567786161,0.6891204792187955,0.6115808489480032,0.7533274610942298,0.5827525904970374,0.6547258763751546,0.6496469090450642,-0.0006510239475718517,-0.001918249871372009,0.0009557446670108487,-0.02741683909392858
CosSim,0.0941915089635426,0.09419150885089454,0.46761473370218976,0.6099433634277751,0.7855503106154069,0.683734647226096,0.878356847269092,0.7658322712961653,0.6423060096460413,0.6233100013212141,0.2571034552993884,0.08413481685404037,0.22363422732436744,0.21285291430570172
SSIM,0.413482294687486,0.413482295232548,0.8649990952037875,0.9574533241987229,0.9775330970187982,0.9630747154355049,0.9838203129172325,0.9672838764389355,0.9603368360300859,0.9573718294998009,0.8306717928398708,0.002589343527829311,0.40084868963950393,0.32539447655952897
Conciseness,0.5572286522633744,0.5572286522633744,0.9881134259259262,0.9930658436213988,0.9978099279835394,0.9944598765432102,0.9973148148148153,0.986956018518519,0.9866030092592595,0.9866964591906724,0.9647112911522633,0.0,0.08063657407407407,0.0841017232510288
F1,0.03425384127754253,0.03425384127754253,0.5369236755778726,0.5492616879243466,0.7332222228366122,0.636887013322383,0.8406783631874892,0.304440092693524,0.2987390027309736,0.3074249112140697,0.18652216393445406,0.027702517917889403,0.02013294255268595,0.019952804688307964
MAE,0.2048857437323524,0.20488574230300918,0.010200295781977878,0.004567794067265518,0.001385352366371742,0.003601573216785408,0.0010396430963852947,0.002981283738687682,0.0031741526401329106,0.0036971903525629874,0.029403613683212447,0.6031802620415753,0.16918935069941843,0.18810824346080535
IoU,0.01765495397018449,0.01765495397018449,0.4054312244162313,0.4010384138012233,0.6915372167641125,0.4934948717452974,0.8049631426900385,0.18462663304887927,0.1808797370374868,0.18656867837079444,0.10551841008349445,0.014266332304526744,0.010220414162861334,0.010128430698321114
PR,0.047716271640886,0.047716271640886,0.4915952380952383,0.41579166666666667,0.838611111111111,0.5206428571428575,0.9274999999999999,0.20436751830515593,0.1980942359908478,0.20261509674531322,0.14671170874030354,0.014266332304526744,0.032418372353429106,0.032326388888888884
RE,0.8042118807450065,0.8042118807450065,0.6916048546012156,0.8863361804648944,0.6916048546012156,0.8686633863472473,0.8049729101567712,0.8442030518170114,0.8482182625884164,0.8567510935961389,0.5237582159457536,1.0,0.9203020418094322,0.9161353751427657
EBPG,0.05812620242087481,0.05812620244997864,0.5384524000684421,0.4515327520668507,0.8386111114174127,0.5675000216811895,0.9275000002235174,0.5290991458172599,0.5728374864409367,0.5185602534996967,0.14944605942815542,0.018595131364030144,0.08954259372898377,0.06415173427783885
RRA,0.41183487978524747,0.41208487978524744,0.9861904761904763,0.9642510504201681,1.0,0.9957142857142858,1.0,0.8794005310457516,0.8792926441409896,0.859406731442577,0.50187441643324,0.21533547794117647,0.33935924369747905,0.3583518907563025
cpa!=,0.056783263209045684,0.0567832635011288,0.5421428571428573,0.4549303603790088,0.8591666665466666,0.5650671549804883,0.9424999999133334,0.606512357715642,0.6751359481510492,0.6184306669334694,0.1506932209830362,0.014476890449538976,0.15481089743531054,0.10961503350960493
cpl!=,0.6006948381165053,0.6006948393940434,0.700468363955817,0.7234049740165078,0.8341337467756114,0.7164901893526423,0.9068053151693187,0.7699152301117747,0.8067220155684621,0.8142229127393265,0.6914294254637533,0.6626695965078576,0.748412965661252,0.7631321991563215
cor!=,0.32873905066277553,0.3287390514475861,0.6213056105493372,0.5891676671977584,0.846650206661139,0.6407786721665654,0.924652657541326,0.6882137939137083,0.7409289818597558,0.7163267898363979,0.4210613232233948,0.3385732434786982,0.4516119315482813,0.4363736163329632
cpa>,0.04928423282130333,0.049284233072450966,0.399423076923077,0.5596220472588112,0.8591666665466666,0.6995566952308986,0.9424999999133334,0.7076016952405035,0.5162945423906351,0.47252133331439217,0.1442207957054184,0.010199597190011189,0.10943353245311208,0.09073918668914584
cpl>,0.6045438680037665,0.6045438677808797,0.7167981049495993,0.7617530487326682,0.8130036274363721,0.7543311737326681,0.8937498145404913,0.7693508028598057,0.7963924860471285,0.8138084121335354,0.712221550716795,0.715544887454795,0.7523707661018174,0.7508073893457183
cor>,0.32691405041253485,0.3269140504266653,0.5581105909363382,0.6606875479957397,0.8360851469915194,0.7269439344817833,0.9181249072269123,0.7384762490501546,0.6563435142188818,0.6431648727239638,0.4282211732111067,0.36287224232240317,0.43090214927746473,0.4207732880174321
cpa<,1.0,1.0,1.0,0.36917690428461025,1.0,0.43626274837420365,1.0,0.46721874668945446,1.0,1.0,1.0,1.0,0.24301854868246045,0.1538480757229193
