,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,Occlusion,Rise,KernelShap,Lime
Deletion,0.18779167011380196,0.18770833760499955,0.1703750029206276,0.1260000042617321,0.1703750029206276,0.1260000042617321,0.1260000042617321,0.12750000581145288,0.1272500030696392,0.1260000042617321,0.1703750029206276,0.1260000042617321,0.1682500012218952,0.1507500045001507
Insertion,0.8302499651908875,0.8301249980926514,0.881083345413208,0.9472499966621399,0.881083345413208,0.9540000081062316,0.9252500057220459,0.9335833311080932,0.9324166655540467,0.9379166483879089,0.8785833358764649,0.9410000324249268,0.8753333330154419,0.887666666507721
MuFidelity,-0.030749541152484426,-0.0414961785003999,-0.011816617350308783,0.5439963122716608,0.6703416633061782,0.597223360574491,0.7609365542089604,0.5792870247301338,0.6580739109903695,0.6359427979804427,-0.0031333575633587774,0.008680313151208641,0.027819227584486943,0.027539888299698535
CosSim,0.09098153793761718,0.09098153759948864,0.46514615488574657,0.6105358225448075,0.7788947349130476,0.685494263149267,0.8840584831497429,0.769162155082457,0.6462707729882594,0.6270065316581572,0.257514044313827,0.0839914556942964,0.22131994852693548,0.20925747630461816
SSIM,0.4084359617106267,0.4084359622638015,0.8638977752977789,0.9578424517810346,0.9781769842902819,0.9633140287299952,0.985285393744707,0.967692055006822,0.9604398116966089,0.9574178356428942,0.827863615973697,0.002605786873232743,0.40390747575649044,0.3214976267792779
Conciseness,0.5536078960905348,0.5536078960905348,0.9881037808641981,0.9930658436213988,0.9978002829218109,0.9944598765432102,0.9972290809327852,0.9867251800411525,0.9868053412208508,0.986391246570645,0.9647190072016463,0.0,0.07924125514403291,0.07744020061728393
F1,0.03393605261694266,0.03393605261694266,0.5368061976612787,0.5480717858319782,0.7358356873285028,0.6369873170113021,0.8574365645214852,0.30460772799768965,0.3034490117409551,0.30615891250874727,0.18275821419993904,0.02766266212086818,0.02034557989848105,0.02032570425816671
MAE,0.20664578636385458,0.20664578501960618,0.010232124485680937,0.0045279278121201985,0.0013959619342791927,0.0035671724966195124,0.000995786433528782,0.0030228377231390825,0.003194198925898241,0.0037252801063882212,0.029230645576215915,0.6044342895358066,0.17505615742868166,0.2003922332127524
IoU,0.01752350139022237,0.01752350139022237,0.4077666926624012,0.39912826594523393,0.7018673964834471,0.4935727169928315,0.8303396187056693,0.1844357266942378,0.18366933578203973,0.18520527413208074,0.10326969203497952,0.014245113168724274,0.010331501980358527,0.010321410141015157
PR,0.05398975666912613,0.05398975666912613,0.49111904761904784,0.4144880952380953,0.8283333333333331,0.5214761904761909,0.9283333333333331,0.2050084867042749,0.20404384478336873,0.20531850385562872,0.14993090178854065,0.014245113168724274,0.03500559081053679,0.03499549897119341
RE,0.7917166674723427,0.7917166674723427,0.7019641289569366,0.8874611527664603,0.7019641289569366,0.8687424027664603,0.8303495456236032,0.8492554943897492,0.8488545139739664,0.8593110057643397,0.5228501000120255,1.0,0.9228259111698218,0.9228259111698218
EBPG,0.06354210490186232,0.06354210489138495,0.537976209272941,0.4501265015949806,0.8283333337058624,0.5683333550393581,0.9283333335816859,0.5324106107279658,0.5806535640607278,0.5204473582655191,0.15223686772709094,0.01858262117893901,0.09267081716718772,0.06702746728299341
RRA,0.38974696545284787,0.3899344654528479,0.9885714285714287,0.9654367121848739,1.0,0.9957142857142858,1.0,0.8946069677871147,0.8964807668681507,0.8707867792950512,0.5072045547385621,0.20058997140522875,0.32664514226743335,0.3573868264411028
cpa!=,0.06268957081688684,0.06268957114727366,0.5425595238095239,0.4580999276467538,0.8533333331866666,0.5704670328703662,0.9449999999033333,0.6112135650186736,0.6846757082007859,0.6240125873766873,0.15595140856283507,0.01446780296466108,0.15893445668685313,0.11287226309167356
cpl!=,0.5973547202474669,0.5973547192331236,0.6985373245181647,0.732654139994355,0.83471685883189,0.7253974435657837,0.9172536232748106,0.7723264457385545,0.8098890614613126,0.814296153986588,0.6970865556689582,0.6671838716537191,0.7506132433292527,0.7673924102938885
cor!=,0.33002214553217685,0.3300221451901986,0.6205484241638443,0.5953770338205544,0.8440250960092783,0.6479322382180749,0.931126811589072,0.6917700053786141,0.7472823848310493,0.7191543706816376,0.4265189821158966,0.3408258373091902,0.454773850008053,0.44013233669278107
cpa>,0.05512164168607432,0.05512164179459239,0.4012820512820513,0.5611199259566777,0.8533333331866666,0.7045126732203547,0.9449999999033333,0.7123394399451931,0.5253600795955398,0.478633035321902,0.15008649889049935,0.010195270729918993,0.11453532901333421,0.08946848296198248
cpl>,0.5952248873183591,0.5952248866284511,0.7157255670054582,0.7720802297038707,0.813628840814982,0.7641878685927596,0.9053363568626718,0.7712847268926867,0.7996929304354777,0.8143301373598366,0.7166584373758285,0.720801354638515,0.7542426701273004,0.7545491639829801
cor>,0.3251732645022167,0.3251732642115217,0.5585038091437547,0.6666000778302743,0.8334810870008242,0.7343502709065571,0.9251681783830026,0.7418120834189399,0.6625265050155087,0.6464815863408693,0.4333724681331638,0.365498312684217,0.4343889995703173,0.42200882347248125
cpa<,1.0,1.0,1.0,0.3699220209020013,1.0,0.4380182809966094,1.0,0.4695285327178647,1.0,1.0,1.0,1.0,0.2235602491027882,0.16247365690573787
cpl<,0.2013287293844753,0.20132872930500242,0.2985680803571429,0.6143861607142856,0.8779460565476193,0.6081335565476189,0.9329705661762329,0.7473208785514155,0.37168946032770095,0.3593442072996071,0.5708691716269841,0.01855145292196955,0.6499107545187904,0.6363342715985482
cor<,0.6006643646922376,0.6006643646525013,0.6492840401785716,0.49215409080814354,0.9389730282738096,0.5230759187721141,0.9664852830881164,0.6084247056346401,0.6858447301638504,0.6796721036498037,0.7854345858134921,0.5092757264609847,0.43673550181078935,0.39940396425214303
cor_nosign,0.33002214553217685,0.3300221451901986,0.6205484241638443,0.5953770338205544,0.8440250960092783,0.6479322382180749,0.931126811589072,0.6917700053786141,0.7472823848310493,0.7191543706816376,0.4265189821158966,0.3408258373091902,0.454773850008053,0.44013233669278107
